value,day,month,year,date,h3_polyfill
0.8874547629505016,1,1,2016,2016-01-01,8826824801fffff
0.897052174185903,1,1,2016,2016-01-01,8826824803fffff
1.188303479813677,1,1,2016,2016-01-01,8826824805fffff
1.0910668586713832,1,1,2016,2016-01-01,8826824807fffff
0.8801041780522905,1,1,2016,2016-01-01,8826824809fffff
0.8282637639879185,1,1,2016,2016-01-01,882682480bfffff
0.9649287366978774,1,1,2016,2016-01-01,882682480dfffff
0.9074922620286705,1,1,2016,2016-01-01,8826824811fffff
0.9921867020129193,1,1,2016,2016-01-01,8826824813fffff
0.7994192975043732,1,1,2016,2016-01-01,8826824815fffff
1.1472474672751016,1,1,2016,2016-01-01,8826824817fffff
0.8966030339709945,1,1,2016,2016-01-01,8826824819fffff
0.9130437298322498,1,1,2016,2016-01-01,882682481bfffff
0.8227389154280551,1,1,2016,2016-01-01,882682481dfffff
1.227130561413536,1,1,2016,2016-01-01,8826824821fffff
1.2394150942001356,1,1,2016,2016-01-01,8826824823fffff
1.5210215512935779,1,1,2016,2016-01-01,8826824825fffff
1.3207933695720706,1,1,2016,2016-01-01,8826824827fffff
1.0608020051566318,1,1,2016,2016-01-01,8826824829fffff
1.1818606010216866,1,1,2016,2016-01-01,882682482bfffff
1.424899690846664,1,1,2016,2016-01-01,882682482dfffff
1.0008072378309623,1,1,2016,2016-01-01,8826824831fffff
0.9926005578972849,1,1,2016,2016-01-01,8826824833fffff
0.9770768912398796,1,1,2016,2016-01-01,8826824835fffff
0.8320357898921501,1,1,2016,2016-01-01,8826824837fffff
1.2923835447033025,1,1,2016,2016-01-01,8826824839fffff
1.1041650488076393,1,1,2016,2016-01-01,882682483bfffff
0.9713103213854511,1,1,2016,2016-01-01,882682483dfffff
0.9518711393498754,1,1,2016,2016-01-01,8826824841fffff
0.9502305068096883,1,1,2016,2016-01-01,8826824843fffff
0.977076937721427,1,1,2016,2016-01-01,8826824845fffff
0.9319582876927066,1,1,2016,2016-01-01,8826824847fffff
1.2049894434423163,1,1,2016,2016-01-01,8826824849fffff
0.9986134925847068,1,1,2016,2016-01-01,882682484bfffff
1.2176136399165098,1,1,2016,2016-01-01,882682484dfffff
0.9255231790711705,1,1,2016,2016-01-01,8826824851fffff
0.9455295845438914,1,1,2016,2016-01-01,8826824853fffff
0.9014572243335855,1,1,2016,2016-01-01,8826824855fffff
0.8762606221900389,1,1,2016,2016-01-01,8826824857fffff
0.9233812457426103,1,1,2016,2016-01-01,8826824859fffff
0.8820969468088942,1,1,2016,2016-01-01,882682485bfffff
0.9750090938950163,1,1,2016,2016-01-01,882682485dfffff
1.143810968109572,1,1,2016,2016-01-01,8826824861fffff
1.0917444274731665,1,1,2016,2016-01-01,8826824863fffff
1.2373614719829156,1,1,2016,2016-01-01,8826824865fffff
1.049986606726217,1,1,2016,2016-01-01,8826824867fffff
1.2909883042454608,1,1,2016,2016-01-01,8826824869fffff
1.1015559457389121,1,1,2016,2016-01-01,882682486bfffff
1.354673500573754,1,1,2016,2016-01-01,882682486dfffff
0.7547224904393631,1,1,2016,2016-01-01,8826824881fffff
0.7341103255017088,1,1,2016,2016-01-01,8826824883fffff
0.7385645722925851,1,1,2016,2016-01-01,8826824885fffff
0.6964883637409969,1,1,2016,2016-01-01,8826824887fffff
0.7136665876312991,1,1,2016,2016-01-01,8826824889fffff
0.785024056124439,1,1,2016,2016-01-01,882682488dfffff
0.702551262367473,1,1,2016,2016-01-01,88268248a1fffff
0.8712913635274676,1,1,2016,2016-01-01,88268248a3fffff
0.759397196883887,1,1,2016,2016-01-01,88268248a5fffff
0.7966654312790011,1,1,2016,2016-01-01,88268248a7fffff
0.7266405352548859,1,1,2016,2016-01-01,88268248a9fffff
0.7872373955747174,1,1,2016,2016-01-01,88268248abfffff
